municipio,pre_2013,pos_2013,sede,tipo_alteracao
Aguiar da Beira,AGUIAR DA BEIRA,UNIÃO DAS FREGUESIAS DE AGUIAR DA BEIRA E CORUCHE,AGUIAR DA BEIRA,criada por agregação
Aguiar da Beira,CARAPITO,CARAPITO,CARAPITO,sem alteração
Aguiar da Beira,CORTIÇADA,CORTIÇADA,CORTIÇADA,sem alteração
Aguiar da Beira,CORUCHE,UNIÃO DAS FREGUESIAS DE AGUIAR DA BEIRA E CORUCHE,AGUIAR DA BEIRA,criada por agregação
Aguiar da Beira,DORNELAS,DORNELAS,DORNELAS,sem alteração
Aguiar da Beira,EIRADO,EIRADO,EIRADO,sem alteração
Aguiar da Beira,FORNINHOS,FORNINHOS,FORNINHOS,sem alteração
Aguiar da Beira,GRADIZ,UNIÃO DAS FREGUESIAS DE SEQUEIROS E GRADIZ,SEQUEIROS,criada por agregação
Aguiar da Beira,PENA VERDE,PENA VERDE,PENA VERDE,sem alteração
Aguiar da Beira,PINHEIRO,PINHEIRO,PINHEIRO,sem alteração
Aguiar da Beira,SEQUEIROS,UNIÃO DAS FREGUESIAS DE SEQUEIROS E GRADIZ,SEQUEIROS,criada por agregação
Aguiar da Beira,SOUTO DE AGUIAR DA BEIRA,UNIÃO DAS FREGUESIAS DE SOUTO DE AGUIAR DA BEIRA E VALVERDE,SOUTO DE AGUIAR DA BEIRA,criada por agregação
Aguiar da Beira,VALVERDE,UNIÃO DAS FREGUESIAS DE SOUTO DE AGUIAR DA BEIRA E VALVERDE,SOUTO DE AGUIAR DA BEIRA,criada por agregação
Alandroal,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),"UNIÃO DAS FREGUESIAS DE ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO), SÃO BRÁS DOS MATOS (MINA DO BUGALHO) E JUROMENHA (NOSSA SENHORA DO LORETO)",ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),criada por agregação
Alandroal,CAPELINS (SANTO ANTÓNIO),CAPELINS (SANTO ANTÓNIO),CAPELINS (SANTO ANTÓNIO),sem alteração
Alandroal,JUROMENHA (NOSSA SENHORA DO LORETO),"UNIÃO DAS FREGUESIAS DE ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO), SÃO BRÁS DOS MATOS (MINA DO BUGALHO) E JUROMENHA (NOSSA SENHORA DO LORETO)",ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),criada por agregação
Alandroal,SANTIAGO MAIOR,SANTIAGO MAIOR,SANTIAGO MAIOR,sem alteração
Alandroal,SÃO BRÁS DOS MATOS (MINA DO BUGALHO),"UNIÃO DAS FREGUESIAS DE ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO), SÃO BRÁS DOS MATOS (MINA DO BUGALHO) E JUROMENHA (NOSSA SENHORA DO LORETO)",ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),criada por agregação
Alandroal,TERENA (SÃO PEDRO),TERENA (SÃO PEDRO),TERENA (SÃO PEDRO),sem alteração
